username,is active,followers in list,weight,status
opentensor,1,137,4.427058193,
const_reborn,1,126,4.071600965,
BarrySilbert,1,116,3.748458032,
JosephJacks_,1,110,3.554572271,
mogmachine,1,103,3.328372218,
markjeffrey,1,99,3.199115044,
YumaGroup,1,96,3.102172164,
KeithSingery,1,93,3.005229284,
DreadBong0,1,92,2.972914991,
Old_Samster,1,91,2.940600697,
CryptoZPunisher,1,90,2.908286404,
rayon_labs,1,89,2.87597211,
mxmsbt,1,83,2.68208635,
bittingthembits,1,82,2.649772057,
SiamKidd,1,80,2.58514347,
MacrocosmosAI,1,78,2.520514883,
DistStateAndMe,1,78,2.520514883,
fish_datura,1,77,2.48820059,
here4impact,1,75,2.423572003,
CrucibleLabs,1,74,2.39125771,
0xPrismatic,1,74,2.39125771,
kenjonmiyachi,1,73,2.358943416,
taoshiio,1,72,2.326629123,
jaltucher,1,72,2.326629123,
getmasafi,1,71,2.29431483,
macrocrux,1,69,2.229686243,
MessariCrypto,1,69,2.229686243,
DavFields,1,69,2.229686243,
_taofi_,1,69,2.229686243,
mikecontango,1,68,2.19737195,
EvanMalanga,1,67,2.165057656,
tseutseutao,1,66,2.132743363,
0xarrash,1,66,2.132743363,
Grayscale,1,66,2.132743363,
ridges_ai,1,66,2.132743363,
TAOTemplar,1,65,2.100429069,
CreatorBid,1,64,2.068114776,
DrocksAlex2,1,63,2.035800483,
pgpsam,1,63,2.035800483,
Cointelegraph,1,63,2.035800483,
Lazz_eth,1,62,2.003486189,
xavi3rlu,1,62,2.003486189,
metanova_labs,1,61,1.971171896,
TaoIsTheKey,1,59,1.906543309,
Defi0xJeff,1,58,1.874229016,
markcreaser,1,58,1.874229016,
21RoundTable,1,57,1.841914722,
micaelabazo,1,57,1.841914722,
learnbittensor,1,56,1.809600429,
proofoftalk,1,54,1.744971842,
rob_svrn,1,54,1.744971842,
qBitTensor,1,54,1.744971842,
RvCrypto,1,54,1.744971842,
taofuxyz,1,54,1.744971842,
ch_egan,1,53,1.712657549,
coingecko,1,53,1.712657549,
LukitaTao,1,53,1.712657549,
angad_ai,1,52,1.680343256,
mentatminds,1,51,1.648028962,
simplytao_,1,50,1.615714669,
bittensorai,1,50,1.615714669,
FrankRizz07,1,49,1.583400375,
allan_quantifi,1,49,1.583400375,
BackpropFinance,1,49,1.583400375,
inference_labs,1,48,1.551086082,
Neuralteq,1,48,1.551086082,
Victor_crypto_2,1,48,1.551086082,
dsvfund,1,48,1.551086082,
S4mmyEth,1,46,1.486457495,
AltcoinDaily,1,45,1.454143202,
ExponentialReed,1,44,1.421828909,
taoinsider,1,44,1.421828909,
richdotca,1,44,1.421828909,
RahulKumaran4,1,44,1.421828909,
TalkingTensor,1,44,1.421828909,
dippy_ai,1,44,1.421828909,
AutoppiaAI,1,43,1.389514615,
dotkrueger,1,43,1.389514615,
fundstrat,1,43,1.389514615,
coinbureau,1,41,1.324886028,
Route2FI,1,40,1.292571735,
TaoPortal,1,40,1.292571735,
tao_dot_com,1,38,1.227943148,
taoapp_,1,38,1.227943148,
benzion_b,1,38,1.227943148,
Rapido_ai,1,38,1.227943148,
SubnetSummerT,1,36,1.163314562,
austinsiggz98,1,36,1.163314562,
BittensorIntern,1,35,1.131000268,
